patient_id,first_name,last_name,id_number,date_of_birth,gender,province,has_file,file_type
PAT0076,Nandi,Mokoena,7473556534,1953-06-25,F,KwaZulu-Natal,Yes,Digital
PAT0077,Bongani,Molefe,,1962-02-01,male,Free State,Yes,Digital
PAT0078,Mpho,Shabalala,8210769815,1965-10-12,Female,Mpumalanga,Yes,
PAT0079,Sizwe,Shabalala,8076133049,1951-07-03,F,Western Cape,Yes,Digital
PAT0080,Kagiso,Zulu,8627896423,1991-02-27,Male,North West,No,Physical
PAT0081,Luyanda,Ngubane,9831774108,2004-02-03,female,Western Cape,No,Physical
PAT0082,Nandi,Mkhize,8926078158,1988-04-17,Male,Eastern Cape,No,Physical
PAT0083,Tshepo,Shabalala,8741898400,1978-05-12,F,North West,Yes,Physical
PAT0084,Nomvula,Nkosi,8738153255,1965-08-12,F,North West,No,Digital
PAT0085,Nandi,Mokoena,7667915499,1996-09-10,Male,Northern Cape,Yes,Digital
PAT0086,Nomvula,Shabalala,7063967197,1979-09-07,female,Western Cape,Yes,Physical
PAT0087,Tshepo,Ntuli,9744282648,1969-05-01,Female,North West,No,
PAT0088,Sizwe,Buthelezi,7328126539,1979-01-03,F,Limpopo,No,Physical
PAT0089,Kagiso,Dlamini,8845249445,1994-08-18,male,Mpumalanga,Yes,
PAT0090,Sipho,Buthelezi,8795273557,1953-02-05,Male,Eastern Cape,Yes,Physical
PAT0091,Ayanda,Ntuli,9131913200,1974-01-21,Male,Mpumalanga,Yes,Physical
PAT0092,Thandeka,Hadebe,9436493961,1995-09-15,male,KwaZulu-Natal,Yes,Physical
PAT0093,Tshepo,Dlamini,8781485973,1998-09-24,Male,Western Cape,Yes,
PAT0094,Ayanda,Mthethwa,8192223869,1953-12-27,male,Northern Cape,Yes,Digital
PAT0095,Sibusiso,Cele,9572871956,1986-05-11,male,Western Cape,No,Physical
PAT0096,Sizwe,Ntuli,8123979352,1955-07-24,male,Northern Cape,No,Physical
PAT0097,Mpho,Shabalala,7385687944,1995-08-11,female,Northern Cape,Yes,Physical
PAT0098,Lerato,Ngubane,8351607015,1962-02-25,Female,Eastern Cape,Yes,Physical
PAT0099,Kagiso,Ngubane,8284922218,1956-04-04,Female,Mpumalanga,Yes,
PAT0100,Lerato,Zwane,7865175735,1957-04-22,M,Mpumalanga,No,
PAT0101,Nandi,Mahlangu,9567885555,2002-03-13,female,KwaZulu-Natal,Yes,Physical
PAT0102,Luyanda,Hadebe,8075519050,1995-10-11,M,Eastern Cape,Yes,Physical
PAT0103,Luyanda,Mahlangu,9820752045,1983-09-26,F,Western Cape,Yes,Physical
PAT0104,Kagiso,Khumalo,8164824436,1990-01-26,Female,KwaZulu-Natal,No,Physical
PAT0105,Thandeka,Shabalala,9054636895,1952-08-06,Female,Limpopo,Yes,Physical
PAT0106,Ntombi,Hadebe,8509111225,1954-05-22,Female,Eastern Cape,Yes,
PAT0107,Thandeka,Dlamini,8367738996,1996-07-17,Male,KwaZulu-Natal,No,Physical
PAT0108,Sizwe,Ntuli,9057168683,1958-03-20,M,KwaZulu-Natal,Yes,Digital
PAT0109,Lindiwe,Zulu,8030478679,1998-11-10,female,Western Cape,Yes,Physical
PAT0110,Nandi,Ntuli,,1984-02-18,M,KwaZulu-Natal,Yes,Physical
PAT0111,Lerato,Mthembu,7830904444,1966-08-03,F,Free State,Yes,Physical
PAT0112,Nompumelelo,Mkhize,8783752060,1981-03-06,Female,Free State,Yes,
PAT0113,Sibusiso,Sithole,9656651301,1962-08-15,female,Free State,No,Physical
PAT0114,Sipho,Zwane,8153954170,1974-09-04,M,Mpumalanga,No,
PAT0115,Nomvula,Ngubane,8241201190,1963-05-02,Female,Mpumalanga,Yes,Digital
PAT0116,Zanele,Dlamini,8416651980,1960-09-24,Female,KwaZulu-Natal,Yes,
PAT0117,Lerato,Ntuli,9683472184,1952-11-28,female,Free State,Yes,Physical
PAT0118,Bongani,Buthelezi,8181164394,1978-09-03,F,Western Cape,Yes,Digital
PAT0119,Ntombi,Buthelezi,9541802816,1974-02-12,male,Free State,No,Physical
PAT0120,Phiwayinkosi,Dlamini,8639186854,1991-09-15,female,Free State,Yes,Physical
PAT0121,Sipho,Molefe,7367328455,1989-09-05,male,Limpopo,Yes,
PAT0122,Sizwe,Shabalala,7041152686,1960-11-02,F,Limpopo,Yes,Physical
PAT0123,Sizwe,Sithole,7570591154,1973-12-15,Male,Gauteng,Yes,Physical
PAT0124,Phiwayinkosi,Mkhize,7108302409,1987-08-27,female,Mpumalanga,Yes,Physical
PAT0125,Mpho,Mthembu,8761901784,1954-10-18,male,Northern Cape,No,Digital
PAT0126,Nompumelelo,Nkosi,8589249096,1955-05-28,F,Western Cape,Yes,Physical
PAT0127,Kagiso,Khumalo,8059658343,1997-12-05,M,Limpopo,Yes,Physical
PAT0128,Luyanda,Ntuli,7548496801,1962-01-18,Female,Free State,Yes,Physical
PAT0129,Thabo,Zulu,8503631537,1989-03-26,Male,Free State,Yes,
PAT0130,Zanele,Mokoena,9354632841,,female,Gauteng,Yes,
PAT0131,Luyanda,Mkhize,7296939716,1983-08-27,male,Gauteng,No,
PAT0132,Kagiso,Zulu,9200646625,1962-01-06,M,Mpumalanga,No,Digital
PAT0133,Tshepo,Zulu,9488118992,1973-03-16,male,Limpopo,Yes,Physical
PAT0134,Zanele,Ntuli,,1989-12-01,F,Western Cape,Yes,Physical
PAT0135,Palesa,Khumalo,7776767655,1997-09-13,female,Western Cape,Yes,Physical
PAT0136,Ntombi,Shabalala,9376505495,1992-09-21,F,Northern Cape,Yes,Digital
PAT0137,Bongani,Khumalo,7880237614,1991-04-27,male,North West,Yes,Digital
PAT0138,Mpho,Molefe,8241476919,1987-12-07,female,Free State,No,Physical
PAT0139,Thabo,Hadebe,8421391853,1954-11-13,male,Northern Cape,Yes,Physical
PAT0140,Kagiso,Dlamini,8189354769,2000-07-10,Female,Gauteng,Yes,
PAT0141,Nompumelelo,Ngubane,8808992148,1959-11-21,female,Free State,No,Digital
PAT0142,Bongani,Nkosi,9849227457,1979-07-18,female,Eastern Cape,Yes,Digital
PAT0143,Nompumelelo,Mthethwa,9279988509,1985-02-14,Male,Mpumalanga,No,Physical
PAT0144,Zanele,Mahlangu,7311255777,1962-12-07,Female,Free State,Yes,
PAT0145,Palesa,Molefe,8841793491,1951-11-17,female,Northern Cape,Yes,Digital
PAT0146,Nompumelelo,Nkosi,8137334124,1990-01-08,M,KwaZulu-Natal,Yes,Physical
PAT0147,Phiwayinkosi,Dlamini,9515524051,1980-02-28,male,Gauteng,Yes,
PAT0148,Ayanda,Mahlangu,8799201004,1973-03-16,M,Free State,No,Physical
PAT0149,Lerato,Mokoena,7873365869,1955-03-07,male,Western Cape,Yes,Physical
PAT0150,Lindiwe,Dlamini,8975858027,1959-09-02,F,Mpumalanga,Yes,Physical
PAT0151,Bongani,Zwane,9119117966,1977-12-15,male,Western Cape,No,Physical
PAT0152,Luyanda,Sithole,9037888987,1979-05-22,Male,Northern Cape,Yes,Physical
PAT0153,Nompumelelo,Mahlangu,9362765465,1953-04-04,F,KwaZulu-Natal,Yes,Physical
PAT0154,Thabo,Sithole,9792642693,1999-04-27,female,Gauteng,Yes,Digital
PAT0155,Phiwayinkosi,Hadebe,9229675752,1966-12-22,male,Eastern Cape,No,Physical
PAT0156,Tshepo,Ndlovu,7739481830,1966-10-22,Male,Free State,Yes,Digital
PAT0157,Sibusiso,Buthelezi,9108076177,1950-06-26,M,Free State,No,Physical
PAT0158,Thabo,Mokoena,7260469932,1967-02-14,F,Northern Cape,Yes,Physical
PAT0159,Zanele,Mkhize,7323189308,1996-12-04,F,Northern Cape,Yes,Physical
PAT0160,Lindiwe,Khumalo,9681943838,1984-04-12,Male,KwaZulu-Natal,Yes,Physical
PAT0161,Palesa,Mthethwa,9206532931,1956-11-01,M,Mpumalanga,Yes,Physical
PAT0162,Nandi,Mthembu,7748412664,1955-03-11,F,Mpumalanga,Yes,Physical
PAT0163,Nomvula,Zwane,9260141512,1972-10-02,female,Limpopo,Yes,Digital
PAT0164,Nandi,Zwane,8773488805,1995-02-04,male,North West,No,Physical
PAT0165,Thandeka,Ndlovu,7053381559,1966-03-13,Female,North West,Yes,Physical
PAT0166,Sipho,Mthembu,7201578404,1990-07-15,M,Mpumalanga,No,Physical
PAT0167,Sipho,Cele,8146494343,2004-11-20,male,Gauteng,Yes,Physical
PAT0168,Sibusiso,Ndlovu,7294761580,1981-02-15,Female,Mpumalanga,No,Physical
PAT0169,Sipho,Buthelezi,8135308004,1963-04-22,F,Western Cape,Yes,Physical
PAT0170,Luyanda,Dlamini,8908119130,1960-11-03,Female,Mpumalanga,No,Digital
PAT0171,Lerato,Cele,9162405249,1966-12-24,M,Western Cape,No,Digital
PAT0172,Lerato,Buthelezi,7673164506,1977-05-15,male,Northern Cape,Yes,
PAT0173,Sibusiso,Ntuli,8444578253,1965-05-27,F,North West,Yes,
PAT0174,Luyanda,Ntuli,7095366188,1969-06-19,F,Limpopo,Yes,
PAT0175,Bongani,Mokoena,8752513141,1954-03-27,F,Limpopo,Yes,Digital
PAT0176,Kagiso,Molefe,7788827617,1950-10-28,F,KwaZulu-Natal,No,Physical
PAT0177,Nompumelelo,Buthelezi,8664207484,1987-02-03,Female,Mpumalanga,No,Physical
PAT0178,Phiwayinkosi,Mahlangu,7592025452,1998-09-24,F,Western Cape,Yes,Physical
PAT0179,Ntombi,Ndlovu,9888916881,1961-02-15,Male,KwaZulu-Natal,Yes,Physical
PAT0180,Ayanda,Cele,7231503849,1993-11-08,F,Mpumalanga,No,
PAT0181,Luyanda,Zwane,8262328390,1995-09-17,F,Limpopo,Yes,Physical
PAT0182,Ayanda,Ndlovu,8965907905,1978-05-08,Male,North West,Yes,
PAT0183,Palesa,Buthelezi,9720685611,1964-11-14,male,KwaZulu-Natal,Yes,
PAT0184,Sizwe,Nkosi,7277643839,1999-04-07,female,Western Cape,No,Physical
PAT0185,Lindiwe,Mthethwa,8888526878,1952-12-21,Male,Limpopo,Yes,Digital
PAT0186,Mpho,Ngubane,8621507303,1973-12-26,M,Northern Cape,Yes,Physical
PAT0187,Nompumelelo,Shabalala,8920631851,1952-04-14,male,North West,Yes,Physical
PAT0188,Mpho,Mthethwa,8492447833,1964-09-14,F,Mpumalanga,Yes,Digital
PAT0189,Zanele,Molefe,7120393427,1956-01-12,Female,KwaZulu-Natal,Yes,Digital
PAT0190,Nandi,Mhlongo,7041016052,1969-04-09,Male,Northern Cape,Yes,Physical
PAT0191,Nandi,Zulu,9515936387,1987-09-28,male,Western Cape,Yes,
PAT0192,Sipho,Dlamini,7384054913,1971-06-21,male,North West,Yes,Physical
PAT0193,Tshepo,Shabalala,7830878723,2002-02-24,F,Northern Cape,No,
PAT0194,Thabo,Hadebe,8519375107,1957-11-13,female,Mpumalanga,Yes,
PAT0195,Thandeka,Ndlovu,9656189945,1966-08-21,Female,Gauteng,No,Physical
PAT0196,Luyanda,Shabalala,8004879967,1967-02-14,Female,Mpumalanga,Yes,Digital
PAT0197,Nandi,Mthethwa,7887691417,1996-06-11,Female,Limpopo,Yes,Physical
PAT0198,Thandeka,Mkhize,9826034267,1994-09-01,M,KwaZulu-Natal,Yes,Physical
PAT0199,Nandi,Sithole,7828468668,1987-09-08,male,Eastern Cape,Yes,Physical
PAT0200,Thabo,Shabalala,8572651412,1960-06-19,M,Mpumalanga,No,Physical
PAT0201,Sipho,Mthembu,7076448587,1973-09-17,M,Free State,No,Physical
PAT0202,Nomvula,Mhlongo,7607938164,1961-09-14,male,Eastern Cape,Yes,Digital
PAT0203,Nandi,Khumalo,9240939867,1981-06-22,Female,Eastern Cape,Yes,Physical
PAT0204,Sipho,Zwane,7388573504,1977-04-01,male,KwaZulu-Natal,Yes,Physical
PAT0205,Nomvula,Ngubane,8669083786,1959-08-18,female,KwaZulu-Natal,Yes,Physical
PAT0206,Tshepo,Hadebe,8144532122,1982-02-01,male,Western Cape,Yes,Digital
PAT0207,Sipho,Mkhize,7861002571,1982-09-13,F,Limpopo,Yes,Physical
PAT0208,Nompumelelo,Shabalala,7707413143,,male,Western Cape,Yes,Digital
PAT0209,Nandi,Buthelezi,9198998357,2001-10-22,Male,Northern Cape,No,Physical
PAT0210,Kagiso,Khumalo,7615774440,1988-02-06,female,Northern Cape,Yes,Digital
PAT0211,Sibusiso,Zulu,8513236644,1988-10-14,Male,Northern Cape,No,Physical
PAT0212,Ayanda,Mahlangu,8744593914,1999-02-10,Female,Gauteng,Yes,Physical
PAT0213,Luyanda,Molefe,8862429787,2004-12-17,Female,Mpumalanga,Yes,Physical
PAT0214,Lerato,Khumalo,8781321728,1989-11-03,F,KwaZulu-Natal,Yes,Physical
PAT0215,Thandeka,Mkhize,8192811698,1955-09-06,F,North West,Yes,Digital
PAT0216,Thandeka,Mahlangu,7400551395,1958-07-09,F,KwaZulu-Natal,Yes,
PAT0217,Sibusiso,Mkhize,8951058400,1999-12-08,female,KwaZulu-Natal,Yes,
PAT0218,Nandi,Buthelezi,9010693502,1957-02-28,M,KwaZulu-Natal,Yes,Physical
PAT0219,Sibusiso,Zwane,7592641717,1969-11-07,male,KwaZulu-Natal,Yes,Digital
PAT0220,Ntombi,Ntuli,7520355946,1960-04-16,Male,Free State,Yes,Physical
PAT0221,Ayanda,Zulu,7055879335,1953-06-26,female,Gauteng,Yes,Physical
PAT0222,Zanele,Dlamini,8261218266,1971-10-03,Male,North West,Yes,Physical
PAT0223,Zanele,Hadebe,8028968192,1990-12-10,male,Mpumalanga,Yes,Physical
PAT0224,Ntombi,Zulu,8423036588,1963-11-18,M,Eastern Cape,Yes,Digital
PAT0225,Lindiwe,Mthembu,9371284636,2003-12-23,Male,Free State,No,Physical
PAT0226,Ntombi,Hadebe,8978762062,1961-09-13,female,Limpopo,Yes,
PAT0227,Ntombi,Mokoena,7841778860,2000-10-19,male,Free State,No,Digital
PAT0228,Mpho,Mthethwa,8527186305,2004-04-13,F,Eastern Cape,Yes,Physical
PAT0229,Nomvula,Khumalo,9734197541,1957-07-21,F,Northern Cape,Yes,Digital
PAT0230,Zanele,Zulu,7094498330,2004-03-12,F,Eastern Cape,Yes,Physical
PAT0231,Nomvula,Khumalo,7382039924,1967-06-18,male,Limpopo,Yes,Digital
PAT0232,Sizwe,Zwane,7900317801,1968-06-05,M,Free State,No,
PAT0233,Tshepo,Khumalo,8032517731,1981-08-09,female,Eastern Cape,No,Physical
PAT0234,Zanele,Ngubane,8793098241,1952-12-10,F,Mpumalanga,No,Physical
PAT0235,Nandi,Dlamini,9140463539,2000-03-22,male,Free State,Yes,Physical
PAT0236,Ayanda,Mhlongo,9037652542,1964-01-07,Male,Free State,Yes,
PAT0237,Ayanda,Mokoena,9839222191,1961-01-21,F,Limpopo,Yes,Physical
PAT0238,Luyanda,Molefe,7391827938,1980-10-24,Female,North West,Yes,Digital
PAT0239,Mpho,Mahlangu,9813102540,1969-05-04,female,Northern Cape,Yes,Physical
PAT0240,Lerato,Shabalala,7881936541,1977-12-20,Male,Northern Cape,Yes,Physical
PAT0241,Ntombi,Hadebe,9892072365,1973-02-17,M,North West,Yes,Digital
PAT0242,Bongani,Ngubane,9381689702,2000-09-04,M,KwaZulu-Natal,Yes,Physical
PAT0243,Kagiso,Mahlangu,8682532324,2002-02-04,male,Eastern Cape,Yes,Physical
PAT0244,Mpho,Hadebe,8670828419,1951-02-04,M,KwaZulu-Natal,No,Digital
PAT0245,Nandi,Hadebe,7199712810,1955-07-10,Female,Limpopo,Yes,
PAT0246,Sipho,Mkhize,9032973923,2000-03-26,F,Gauteng,Yes,Physical
PAT0247,Mpho,Dlamini,9347785186,2003-12-03,Male,Free State,No,Physical
PAT0248,Luyanda,Molefe,9875346977,1994-02-08,F,Mpumalanga,No,Digital
PAT0249,Zanele,Cele,,1970-01-03,female,Northern Cape,Yes,Physical
PAT0250,Nomvula,Mahlangu,7048495849,1975-08-04,F,Western Cape,Yes,Digital
PAT0251,Luyanda,Ntuli,8406084709,1997-07-10,male,Northern Cape,Yes,Physical
PAT0252,Thabo,Mahlangu,8240627619,1993-02-23,F,Western Cape,Yes,Physical
PAT0253,Sipho,Cele,8566434072,1986-05-06,female,Limpopo,Yes,
PAT0254,Nandi,Buthelezi,7393991504,1994-09-22,Male,Western Cape,Yes,Physical
PAT0255,Bongani,Mthethwa,9310088576,1996-08-07,Female,KwaZulu-Natal,Yes,
PAT0256,Ntombi,Hadebe,9140216029,1974-04-02,Male,Limpopo,Yes,
PAT0257,Sibusiso,Ngubane,,1988-06-17,Male,Free State,No,Physical
PAT0258,Sibusiso,Mhlongo,8297967316,1974-09-28,male,Northern Cape,No,
PAT0259,Ayanda,Mthethwa,9343875175,1951-03-05,female,KwaZulu-Natal,Yes,Physical
PAT0260,Sizwe,Shabalala,8928156348,1954-01-08,Male,North West,No,Digital
PAT0261,Nomvula,Ngubane,9598487190,1961-08-04,Male,Western Cape,Yes,Physical
PAT0262,Bongani,Zulu,7177414376,1994-07-15,Female,Eastern Cape,Yes,Digital
PAT0263,Sizwe,Mthethwa,9593154486,1980-11-10,M,Free State,Yes,Physical
PAT0264,Thabo,Mkhize,8102349053,1952-06-14,Female,Mpumalanga,Yes,Physical
PAT0265,Sizwe,Khumalo,9000393703,1965-10-10,female,Gauteng,Yes,Digital
PAT0266,Kagiso,Cele,8726039120,1961-09-01,female,North West,No,Digital
PAT0267,Mpho,Khumalo,7111246063,1954-04-08,male,Gauteng,Yes,Physical
PAT0268,Palesa,Mahlangu,9862041667,1992-12-01,F,North West,Yes,Physical
PAT0269,Ntombi,Ndlovu,8608767819,2003-04-28,F,Northern Cape,Yes,Physical
PAT0270,Luyanda,Mokoena,8058881539,1992-05-15,F,Mpumalanga,Yes,Physical
PAT0271,Sibusiso,Zulu,8271175835,1986-12-05,M,Eastern Cape,Yes,Physical
PAT0272,Lerato,Ndlovu,7202607042,1998-01-24,female,North West,Yes,Digital
PAT0273,Ayanda,Ngubane,8787788102,1993-08-28,M,Western Cape,Yes,Digital
PAT0274,Palesa,Mthembu,8667201924,1996-06-12,F,Mpumalanga,No,Physical
PAT0275,Ayanda,Mokoena,7276332581,1969-02-14,F,Eastern Cape,No,Digital
PAT0276,Nomvula,Mokoena,8225034324,1951-09-05,Female,Gauteng,Yes,
PAT0277,Thandeka,Hadebe,7562791255,1969-10-01,female,Mpumalanga,Yes,Digital
PAT0278,Luyanda,Khumalo,7510911009,2004-03-06,F,Western Cape,No,
PAT0279,Nomvula,Buthelezi,9262576124,1986-05-27,Male,Mpumalanga,Yes,Digital
PAT0280,Tshepo,Mhlongo,7011163193,1954-01-17,female,KwaZulu-Natal,Yes,
PAT0281,Nomvula,Zwane,9430278449,2000-12-10,M,KwaZulu-Natal,Yes,
PAT0282,Nomvula,Cele,8353314925,1969-05-18,female,Gauteng,No,Digital
PAT0283,Thandeka,Ndlovu,9692157938,1973-11-11,male,Limpopo,Yes,
PAT0284,Sibusiso,Mokoena,8515572633,1983-09-18,Male,Free State,Yes,Physical
PAT0285,Nompumelelo,Cele,8056719702,1978-09-07,F,KwaZulu-Natal,Yes,Physical
PAT0286,Nompumelelo,Mahlangu,7005059175,1980-08-15,male,Free State,Yes,
PAT0287,Bongani,Mthethwa,8790993000,1992-02-23,Female,Free State,No,
PAT0288,Nomvula,Mthembu,8912736989,1993-06-20,female,Gauteng,Yes,Physical
PAT0289,Nompumelelo,Cele,7507138190,1972-04-16,female,Western Cape,No,Physical
PAT0290,Sipho,Dlamini,9857694636,1999-10-28,Female,Gauteng,Yes,Physical
PAT0291,Bongani,Ngubane,9731615809,2004-08-18,male,Limpopo,Yes,Physical
PAT0292,Sipho,Sithole,8633745178,1970-01-23,Male,Eastern Cape,Yes,Physical
PAT0293,Phiwayinkosi,Khumalo,8446298245,1957-06-05,F,KwaZulu-Natal,Yes,
PAT0294,Sipho,Nkosi,7388663048,1996-06-15,male,Northern Cape,Yes,Physical
PAT0295,Nandi,Nkosi,7220505544,1983-01-23,M,Northern Cape,Yes,
PAT0296,Sizwe,Ngubane,8767164419,2004-10-11,F,North West,Yes,Digital
PAT0297,Zanele,Cele,8384121249,1959-02-18,male,Western Cape,Yes,Physical
PAT0298,Thandeka,Sithole,8891901770,1966-10-08,Male,Limpopo,Yes,Digital
PAT0299,Nandi,Hadebe,7941755363,,female,Eastern Cape,No,Physical
PAT0300,Thandeka,Ndlovu,,1961-11-08,male,Limpopo,Yes,Physical
PAT0301,Phiwayinkosi,Dlamini,8069858901,1974-04-01,Female,Western Cape,Yes,Physical
PAT0302,Nomvula,Buthelezi,8739817544,1950-03-16,Male,Gauteng,No,Physical
PAT0303,Phiwayinkosi,Cele,9814434374,1963-05-16,female,Eastern Cape,Yes,Physical
PAT0304,Sipho,Hadebe,7153552252,1954-09-26,Male,North West,Yes,
PAT0305,Ntombi,Hadebe,7814187881,1977-02-18,F,Free State,Yes,
PAT0306,Thandeka,Mkhize,7070507241,1955-09-01,Female,Western Cape,Yes,
PAT0307,Thandeka,Zulu,9047267941,1990-09-16,F,Western Cape,Yes,
